Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
Meg22_1618_Bin_156_scaffold_103316_1	GH33(18-242)	-	-	N	1
Meg22_1618_Bin_156_scaffold_10347_2	GH38(18-291)	-	-	N	1
Meg22_1618_Bin_156_scaffold_10347_8	GT9(100-343)	-	-	N	1
Meg22_1618_Bin_156_scaffold_10382_6	GH163(204-462)	-	-	N	1
Meg22_1618_Bin_156_scaffold_104297_2	GH20(11-207)	-	-	N	1
Meg22_1618_Bin_156_scaffold_10598_5	CE1(47-269)	-	-	N	1
Meg22_1618_Bin_156_scaffold_10672_2	GH163(258-536)	-	-	N	1
Meg22_1618_Bin_156_scaffold_10672_4	AA4(3-184)	-	-	N	1
Meg22_1618_Bin_156_scaffold_11303_4	GT4(210-363)	-	-	N	1
Meg22_1618_Bin_156_scaffold_11599_2	GH163(562-820)	-	GH163	N	2
Meg22_1618_Bin_156_scaffold_11915_4	GT2_Glycos_transf_2(4-148)	-	-	N	1
Meg22_1618_Bin_156_scaffold_11915_7	GT4(204-342)	-	-	N	1
Meg22_1618_Bin_156_scaffold_11915_8	GT89(28-361)	GT89(4)	-	N	2
Meg22_1618_Bin_156_scaffold_12059_3	GH20(326-636)	-	-	N	1
Meg22_1618_Bin_156_scaffold_12101_1	GH42(717-930)	-	-	N	1
Meg22_1618_Bin_156_scaffold_12382_2	GH106(7-778)	-	GH106	N	2
Meg22_1618_Bin_156_scaffold_12488_1	GT30(7-116)	GT30(26)	-	N	2
Meg22_1618_Bin_156_scaffold_12488_5	GH26(141-273)	GH26(13)	-	N	2
Meg22_1618_Bin_156_scaffold_12677_2	CBM9(35-213)	-	-	N	1
Meg22_1618_Bin_156_scaffold_12846_3	CBM57(49-118)	-	-	N	1
Meg22_1618_Bin_156_scaffold_12848_3	GT2_Glycos_transf_2(13-174)	GT2(21)	-	N	2
Meg22_1618_Bin_156_scaffold_12912_4	GH109(39-158)	-	-	N	1
Meg22_1618_Bin_156_scaffold_130113_2	PL15(50-177)	-	-	N	1
Meg22_1618_Bin_156_scaffold_13385_7	CBM9(39-214)	-	-	N	1
Meg22_1618_Bin_156_scaffold_13395_2	GH2(391-922)	-	-	N	1
Meg22_1618_Bin_156_scaffold_13395_3	PL34(482-660)	-	-	N	1
Meg22_1618_Bin_156_scaffold_14176_9	GH23(247-357)	GH23(8)	-	N	2
Meg22_1618_Bin_156_scaffold_151887_2	CE10(2-129)	-	-	N	1
Meg22_1618_Bin_156_scaffold_15513_4	GH163(200-458)	-	CBM54	N	2
Meg22_1618_Bin_156_scaffold_157805_4	CE4(24-137)	-	-	N	1
Meg22_1618_Bin_156_scaffold_15797_4	CE4(102-228)	-	-	N	1
Meg22_1618_Bin_156_scaffold_159720_7	GH109(5-119)	-	-	N	1
Meg22_1618_Bin_156_scaffold_16486_4	GT4(203-351)	-	-	N	1
Meg22_1618_Bin_156_scaffold_168775_1	CBM51(172-308)	-	-	N	1
Meg22_1618_Bin_156_scaffold_16903_2	CBM9(47-234)	-	-	N	1
Meg22_1618_Bin_156_scaffold_17131_1	CE4(40-145)	-	-	N	1
Meg22_1618_Bin_156_scaffold_17191_3	GT26(396-564)	GT26(92)	-	N	2
Meg22_1618_Bin_156_scaffold_17252_2	GT9(130-314)	-	-	N	1
Meg22_1618_Bin_156_scaffold_17395_1	GH109(6-124)	-	-	N	1
Meg22_1618_Bin_156_scaffold_17739_5	GH5(199-487)	-	GH5	N	2
Meg22_1618_Bin_156_scaffold_180000_3	CBM9(74-249)	-	-	N	1
Meg22_1618_Bin_156_scaffold_18174_4	GT2_Glycos_transf_2(9-187)	-	-	N	1
Meg22_1618_Bin_156_scaffold_18174_8	GT4(202-356)	-	-	N	1
Meg22_1618_Bin_156_scaffold_18613_1	GT83(12-371)	-	-	N	1
Meg22_1618_Bin_156_scaffold_19163_3	PL12(529-670)	-	PL12	N	2
Meg22_1618_Bin_156_scaffold_199586_2	GH148(1-124)	-	-	N	1
Meg22_1618_Bin_156_scaffold_19973_3	CBM9(48-227)	-	-	N	1
Meg22_1618_Bin_156_scaffold_20065_1	GH163(232-492)	-	-	N	1
Meg22_1618_Bin_156_scaffold_20712_5	CBM9(10-190)	-	-	N	1
Meg22_1618_Bin_156_scaffold_21284_5	GT5(2-405)	GT5(14)	-	N	2
Meg22_1618_Bin_156_scaffold_21712_3	GT83(120-416)	-	-	N	1
Meg22_1618_Bin_156_scaffold_21751_2	GT5(2-468)	GT5(14)	GT5	N	3
Meg22_1618_Bin_156_scaffold_21916_6	GH23(97-205)	GH23(15)	-	N	2
Meg22_1618_Bin_156_scaffold_22117_2	CBM66(374-522)	-	-	N	1
Meg22_1618_Bin_156_scaffold_22117_3	GT4(212-362)	-	-	N	1
Meg22_1618_Bin_156_scaffold_22738_3	PL12(561-705)	-	PL12	N	2
Meg22_1618_Bin_156_scaffold_22982_3	CE7(125-289)	-	-	N	1
Meg22_1618_Bin_156_scaffold_23518_4	GT2_Glycos_transf_2(17-137)	-	-	N	1
Meg22_1618_Bin_156_scaffold_23518_5	GT4(198-331)	-	-	N	1
Meg22_1618_Bin_156_scaffold_23882_8	GT2_Glyco_tranf_2_3(105-331)	GT2(93)	GT2	N	3
Meg22_1618_Bin_156_scaffold_23891_8	GT4(133-273)	-	-	N	1
Meg22_1618_Bin_156_scaffold_24234_3	GH5_7(409-636)	-	GH5	N	2
Meg22_1618_Bin_156_scaffold_24720_2	GT4(195-327)	GT4(11)	-	N	2
Meg22_1618_Bin_156_scaffold_24777_1	GH163(510-610)	-	-	N	1
Meg22_1618_Bin_156_scaffold_25736_5	GH163(206-477)	-	-	N	1
Meg22_1618_Bin_156_scaffold_26305_2	GH163(447-694)	-	-	N	1
Meg22_1618_Bin_156_scaffold_27472_3	GH84(232-505)	-	-	N	1
Meg22_1618_Bin_156_scaffold_27548_1	GH163(114-378)	-	GH163	N	2
Meg22_1618_Bin_156_scaffold_27896_5	GT4(203-358)	GT4(166)	-	N	2
Meg22_1618_Bin_156_scaffold_27896_6	GT4(1-63)	-	-	N	1
Meg22_1618_Bin_156_scaffold_28207_7	GT19(7-362)	GT19(16)	-	N	2
Meg22_1618_Bin_156_scaffold_28282_2	GH33(20-177)	-	-	N	1
Meg22_1618_Bin_156_scaffold_28282_3	PL17(655-775)	-	-	N	1
Meg22_1618_Bin_156_scaffold_29186_1	GH2(50-571)	-	-	N	1
Meg22_1618_Bin_156_scaffold_29186_2	GH4(3-181)	GH4(3)	GH4	N	3
Meg22_1618_Bin_156_scaffold_30408_10	GH109(8-120)	-	-	N	1
Meg22_1618_Bin_156_scaffold_31239_1	GH2(24-676)	-	-	N	1
Meg22_1618_Bin_156_scaffold_31239_2	CBM9(102-280)+PL17(383-523)	-	-	N	1
Meg22_1618_Bin_156_scaffold_31526_4	CBM9(199-393)+GH20(549-821)	-	-	N	1
Meg22_1618_Bin_156_scaffold_31774_1	CBM9(38-179)	-	-	N	1
Meg22_1618_Bin_156_scaffold_31974_2	GH20(155-449)	-	-	N	1
Meg22_1618_Bin_156_scaffold_32154_1	GH33(102-230)	-	-	N	1
Meg22_1618_Bin_156_scaffold_32350_4	GH33(22-329)	-	-	N	1
Meg22_1618_Bin_156_scaffold_32534_2	PL15(231-373)	-	-	N	1
Meg22_1618_Bin_156_scaffold_32547_2	PL15(662-792)	-	PL15	N	2
Meg22_1618_Bin_156_scaffold_32936_2	GH123(533-774)	-	-	N	1
Meg22_1618_Bin_156_scaffold_32936_3	CBM9(90-246)	-	-	N	1
Meg22_1618_Bin_156_scaffold_33562_4	GH29(11-307)	GH29(3)	-	N	2
Meg22_1618_Bin_156_scaffold_34011_2	GH158(36-165)	-	-	N	1
Meg22_1618_Bin_156_scaffold_34011_3	GH163(214-471)	-	GH163	N	2
Meg22_1618_Bin_156_scaffold_34084_2	GH33(64-348)	-	-	N	1
Meg22_1618_Bin_156_scaffold_34113_2	PL15(667-796)	PL15(2)	-	N	2
Meg22_1618_Bin_156_scaffold_34329_3	GT4(224-382)	-	-	N	1
Meg22_1618_Bin_156_scaffold_34329_4	GT4(123-271)	-	-	N	1
Meg22_1618_Bin_156_scaffold_35984_2	GH165(42-629)	-	-	N	1
Meg22_1618_Bin_156_scaffold_37166_1	GH109(4-111)	-	-	N	1
Meg22_1618_Bin_156_scaffold_37166_6	GH109(3-117)	-	-	N	1
Meg22_1618_Bin_156_scaffold_3717_2	CBM16(506-626)	-	-	N	1
Meg22_1618_Bin_156_scaffold_38706_4	CBM9(231-401)	-	-	N	1
Meg22_1618_Bin_156_scaffold_40940_2	GH39(512-682)	-	-	N	1
Meg22_1618_Bin_156_scaffold_41059_1	GH57(6-468)	GH57(5)	GH57	N	3
Meg22_1618_Bin_156_scaffold_41059_2	GH57(9-456)	GH57(20)	GH57	N	3
Meg22_1618_Bin_156_scaffold_43298_4	GT2_Glycos_transf_2(11-173)	-	-	N	1
Meg22_1618_Bin_156_scaffold_43709_1	GT2_Glycos_transf_2(7-179)	-	-	N	1
Meg22_1618_Bin_156_scaffold_44112_3	GH51(181-639)	GH51(7)	-	N	2
Meg22_1618_Bin_156_scaffold_44145_1	GH163(215-496)	-	-	N	1
Meg22_1618_Bin_156_scaffold_45126_2	GH129(157-482)	-	-	N	1
Meg22_1618_Bin_156_scaffold_45207_1	GH38(6-273)	GH38(3)	GH38	N	3
Meg22_1618_Bin_156_scaffold_45917_3	GT83(583-893)	-	-	N	1
Meg22_1618_Bin_156_scaffold_46191_1	GT4(205-350)	-	-	N	1
Meg22_1618_Bin_156_scaffold_46191_2	GT4(191-348)	-	-	N	1
Meg22_1618_Bin_156_scaffold_46288_1	GH109(4-116)	-	-	N	1
Meg22_1618_Bin_156_scaffold_47139_1	CE4(274-395)	CE4(16)	-	N	2
Meg22_1618_Bin_156_scaffold_47139_2	GH148(133-285)	-	-	N	1
Meg22_1618_Bin_156_scaffold_47536_1	PL12(567-683)	-	-	N	1
Meg22_1618_Bin_156_scaffold_48508_3	GH109(4-114)	-	-	N	1
Meg22_1618_Bin_156_scaffold_48691_1	GH129(76-381)	-	GH0	N	2
Meg22_1618_Bin_156_scaffold_48788_2	GH31(198-627)	-	GH31	N	2
Meg22_1618_Bin_156_scaffold_49298_1	CE14(7-109)	-	-	N	1
Meg22_1618_Bin_156_scaffold_49555_2	CE1(4-126)	-	-	N	1
Meg22_1618_Bin_156_scaffold_50963_5	CE14(5-109)	-	-	N	1
Meg22_1618_Bin_156_scaffold_51018_1	PL15(257-388)	-	PL15	N	2
Meg22_1618_Bin_156_scaffold_52257_1	GH33(14-295)	-	-	N	1
Meg22_1618_Bin_156_scaffold_52552_2	CBM32(502-598)	-	-	N	1
Meg22_1618_Bin_156_scaffold_53287_4	GH109(5-120)	-	-	N	1
Meg22_1618_Bin_156_scaffold_5392_3	CBM9(43-219)	-	-	N	1
Meg22_1618_Bin_156_scaffold_5392_4	GH4(5-178)	-	-	N	1
Meg22_1618_Bin_156_scaffold_54069_1	PL17(685-792)	-	PL17	N	2
Meg22_1618_Bin_156_scaffold_54100_1	GH33(4-247)	GH33(49)	GH33	N	3
Meg22_1618_Bin_156_scaffold_54695_1	CBM9(40-198)	-	-	N	1
Meg22_1618_Bin_156_scaffold_55724_2	CE4(50-171)	CE4(35)	-	N	2
Meg22_1618_Bin_156_scaffold_56004_1	GH99(404-702)	-	-	N	1
Meg22_1618_Bin_156_scaffold_57093_2	GT9(72-314)	-	-	N	1
Meg22_1618_Bin_156_scaffold_57093_3	GT9(100-353)	-	-	N	1
Meg22_1618_Bin_156_scaffold_58981_2	GH123(470-700)	-	-	N	1
Meg22_1618_Bin_156_scaffold_60206_3	GH29(20-210)	GH29(51)	-	N	2
Meg22_1618_Bin_156_scaffold_60733_1	GH42(66-246)	-	-	N	1
